experiment_name,model_name,hypothesis_group,category,expected_direction,fold8_mape,fold9_mape,fold10_mape,mean_mape,weighted_mape_235,weighted_mape_127,delta_vs_current_best_fold10,safe_risk_score,exploratory_score,mean_abs_delta_vs_current_best,mean_rel_delta_vs_current_best,mean_abs_relative_delta_vs_current_best,max_rel_delta_vs_current_best,share_abs_delta_vs_current_best_gt_0p1pct,share_abs_delta_vs_current_best_gt_0p3pct,share_abs_delta_vs_current_best_gt_1pct,share_abs_delta_vs_current_best_gt_3pct,share_changed_stores,generated_submission,comment,lb_score,lb_mape,lb_verdict,delta_lb_vs_best
segment_calibrated_rto_decile_s0p20_c98_102,segment_calibrated,segment_calibration,safe,mixed,5.468091098046083,9.071507219382239,6.360660093032948,6.96675280348709,6.995400431940362,6.81357261880412,0.00032220928299064866,7.74314960832624,6.82016658678599,40061.27845371252,0.0016114912841293802,0.0016202986832058164,0.003649046282324763,0.6999757458161533,0.10002425418384671,0.0,0.0,1.0,submissions/test_segment_calibrated_rto_decile_v1.csv,"Сегментная калибровка bias по rto_decile, shrink=0.20, clip=(0.98,1.02).",,,,
selector_by_volatility_w0p25,segment_selector,selector,safe,mixed,5.266046956568016,9.106132430442287,6.310956348331658,6.89437857844732,6.940527294612118,6.7655006255774195,-0.04938153541829937,7.941403855084161,6.772747183653055,33460.497694204474,0.0002905551078451009,0.0010355056358139552,0.11825138933682883,0.22439970894979383,0.12020373514431239,0.015086102352655834,0.0015522677661896677,0.4,,"Безопасный selector по сегменту volatility: альтернативная модель получает вес 25%, остальное current best.",,,,
weighted_oof_rto_decile_v1,weighted_mixture,weighted_mixture,moderate,mixed,5.253012924961819,9.036630871479069,6.352694025290183,6.880779273910357,6.937938859081176,6.779513284495123,-0.007643858459774222,8.094447387439038,6.792021614806804,35314.51676140796,0.00040039838542762335,0.0014777980763435769,0.3242064301464243,0.2871210283773951,0.13126364297841378,0.021392190152801357,0.0032985690031530437,0.5000242541838467,,"OOF-веса по decile РТО, current_best >= 0.50.",,,,
october_high_rollback_safe_v1,october_outlier,outlier_specific,moderate,down,5.062798852322151,8.991804727917577,6.381627369982755,6.812076983407494,6.900914873831081,6.771779989803658,0.021289486232797472,8.128858209463397,6.785718903625928,63874.62922569484,-0.0013550946596564844,0.0015491358586574688,0.041415839225385484,0.19718651467378123,0.13252486053844287,0.02473926752364783,0.00014552510308028134,1.0,submissions/test_october_high_rollback_v1.csv,Безопасный High October rollback: высокий октябрь слегка откатывается к rolling median.,,,,
segment_calibrated_area_vol_s0p20_c98_102,segment_calibrated,segment_calibration,safe,mixed,5.481544294047904,9.092716552670831,6.34993066958765,6.9747305054354625,6.9990891594046545,6.811649208650311,-0.010407214162307277,8.180269053760542,6.818915741724367,60740.66132248461,0.0014703557270930704,0.0018166332685137802,0.003419579033808848,0.7846228474411836,0.14843560514188697,0.0,0.0,1.0,,"Сегментная калибровка bias по area_vol, shrink=0.20, clip=(0.98,1.02).",,,,
temporal_ensemble_ratio_v1,temporal_pattern,temporal_model,exploratory,mixed,5.286109166480155,9.079718897289798,6.251480354468699,6.8724361394128834,6.9068776797173195,6.720590944234064,-0.10885752928125836,8.35309328867759,6.728374228581527,64149.80587952309,-0.0003207734158479304,0.0019458210868657023,0.029619458906641402,0.6599078341013825,0.1706524375454766,0.012321125394130487,0.0,1.0,submissions/test_temporal_ensemble_ratio_v1.csv,Ансамбль temporal ridge и HGB.,,,,
temporal_ridge_ratio_v1,temporal_pattern,temporal_model,moderate,mixed,5.305784013829589,9.074454622406732,6.182050876069967,6.854096504102095,6.874518627522921,6.672904939113282,-0.17828700767999006,8.425639386841938,6.681783270855824,66335.34682016104,-0.0006118497922393548,0.0020498036487084795,0.0314774197608723,0.5924812030075188,0.18011156924569488,0.01896677176813,0.00033955857385398983,1.0,submissions/test_temporal_ridge_ratio_v1.csv,Temporal pattern model: robust linear model по нормализованной траектории.,,,,
exploratory_selector_volatility_w0p75,segment_selector,selector,exploratory,mixed,5.357071859793599,9.308927294408493,6.245006413564577,6.9703351892555565,6.986595767063557,6.768997134356263,-0.11533147018537981,8.473359303643628,6.791509610383525,57990.393724602785,0.00037430525427002253,0.0018929746944216052,0.3547541680104865,0.18811544991511037,0.1606597138006306,0.04487024011642008,0.007470288624787776,0.2,,"Более смелый selector по сегменту volatility, safety blend 75/25.",,,,
exploratory_segment_region_rto_s0p30_c98_102,segment_calibrated,segment_calibration,exploratory,mixed,5.448246504537799,9.139137398146914,6.374621308910712,6.987335070531809,7.01870117480699,6.834887046320661,0.014283425160755314,8.490125591670118,6.846559605156739,44894.330814115616,0.0015128216090213216,0.0016683400074532662,0.007072284285014696,0.6381760853747271,0.17962648556876062,0.0,0.0,1.0,,"Более заметная segment calibration по region_rto, shrink=0.30.",,,,
segment_calibrated_volatility_s0p20_c98_102,segment_calibrated,segment_calibration,safe,mixed,5.4816948993935615,9.075928653011534,6.349388451292408,6.969004001232501,6.993811801428377,6.807927136446349,-0.01094943245754898,8.641030462311075,6.815283431082955,63307.319279478594,0.0014863490335661035,0.0018390736591515028,0.0033453762381815385,0.6,0.2,0.0,0.0,1.0,,"Сегментная калибровка bias по volatility, shrink=0.20, clip=(0.98,1.02).",,,,
