segment_type,segment_value,n,fold_count,baseline_mape,current_best_mape,rolling_mean_2_mape,rolling_mean_3_mape,rolling_median_3_mape,damped_add_mape,damped_ratio_mape,outlier_smoothing_mape,segment_region_mape,segment_area_mape,ml_ratio_mape,analog_knn_mape,best_model_in_segment,best_model_mape,improvement_best_vs_current,signed_bias_current_best,median_pred_div_true,same_bias_sign_folds,stability_score
"Торговая площадь, категориальный",Маленький,12966,3,6.621157771615095,6.621096332713348,7.708283661000303,8.206440946203095,8.599876329706929,6.579561765235324,6.606477215964063,6.6179732085622485,6.634697837549651,6.622177281827506,6.623015198080317,6.6874920489382275,damped_add,6.579561765235324,0.04153456747802409,0.02126612924977157,1.0095580160057,2,0.027689711652016058
Количество касс,7,9810,3,6.702871726890704,6.705328998391216,7.695383463298154,8.17523254653284,8.565266698164715,6.709897021868397,6.716536128849622,6.6639405829824545,6.717418704417351,6.706257107542308,6.704930232331,6.771606664976511,outlier_smoothing,6.6639405829824545,0.04138841540876115,0.021461243756004885,1.010364781838373,2,0.0275922769391741
alcohol_x_rto_decile,0__4,353,3,5.80408410802524,5.802854519314564,6.923757984484943,7.60761371414257,7.7491168918570414,5.7619383103034965,5.774883735341394,5.882624687396286,5.815105225739255,5.80370508880191,5.805647567666636,5.8555926088100545,damped_add,5.7619383103034965,0.040916209011067295,0.0059616102808402556,0.9984743539433766,2,0.027277472674044862
area_x_volatility,Большой__1,2784,3,5.303188330782943,5.307055850017639,5.484764831747183,5.733588098390017,5.829398045458791,5.342478558168023,5.331761899793115,5.268001578088671,5.318669474807595,5.302236420653441,5.30382344350564,5.3472381894162835,outlier_smoothing,5.268001578088671,0.03905427192896749,-0.008333276208706128,0.9859369397284555,2,0.026036181285978323
Регион,Ростовская обл,2385,3,5.288887466737319,5.300060347648745,5.76353622172582,5.980030929585029,6.530154463604586,5.477804106676703,5.435955086321471,5.261157100386063,5.291871519759361,5.292196206066759,5.287864519967965,5.32737085954188,outlier_smoothing,5.261157100386063,0.038903247262681795,0.014149660198949802,1.0106177280993482,2,0.025935498175121197
Населенный пункт,Сыктывкар г,153,3,5.609040383060908,5.605009729658199,5.991130188034034,6.616403433200711,6.012558319467504,5.571132075939229,5.566286473551589,5.642139917389313,5.606045219986808,5.6070437511732925,5.598904012759878,5.674934197924314,damped_ratio,5.566286473551589,0.03872325610660976,-0.010666030317211124,0.9893619255788226,2,0.02581550407107317
Населенный пункт,Рязань г,408,3,4.884887783940573,4.878651953063923,5.569996628214098,6.029148551013353,5.916089596494127,4.854469744649856,4.84013435889829,4.891124707053537,4.867040611922395,4.886179081835746,4.880293332381728,4.9048764335139365,damped_ratio,4.84013435889829,0.03851759416563372,-0.015776819914828658,0.9798183385723511,2,0.025678396110422476
alcohol_x_rto_decile,1__5,5775,3,6.66315335867865,6.664860412411199,7.7437179370668705,8.311486783965291,8.692309384548315,6.6268596270538085,6.664451814759601,6.665313683466938,6.675654608119089,6.667286765308634,6.665833179863659,6.733183310256763,damped_add,6.6268596270538085,0.03800078535739093,0.02287254167247186,1.0107057688123362,2,0.025333856904927288
area_x_trend,Большой__2,2543,3,5.232941373506561,5.234900937109694,5.238847950525243,5.280342797002161,5.196925708973845,5.235061004284471,5.2345494832021915,5.214553839316726,5.246595322997754,5.2316871626283525,5.233074351769932,5.281750021751204,rolling_median_3,5.196925708973845,0.03797522813584919,-0.007859043728525526,0.9856695864393534,2,0.025316818757232795
Населенный пункт,Березники г,114,3,4.740919863661378,4.749420601304038,4.8021595712210265,5.006522707017804,4.711510022296781,4.85682979156725,4.845211628642741,4.723609809335585,4.745477256213795,4.736562336295221,4.739116014594911,4.847991292979793,rolling_median_3,4.711510022296781,0.03791057900725736,0.009794460705923196,1.0070488596178062,2,0.025273719338171574
volatility_bucket,3,12369,3,6.262118445959254,6.264613341443251,7.239189152881103,7.878898875932961,8.314276253208057,6.293680781039016,6.285947081598999,6.228224909992303,6.278179700972156,6.265046415102755,6.263931968910678,6.32877168865608,outlier_smoothing,6.228224909992303,0.03638843145094839,0.019482742336457446,1.0146428492799018,2,0.024258954300632258
Регион,Тульская обл,816,3,5.821668916649554,5.824147830072116,6.759484175325327,7.134582077824546,7.587102425468241,5.787925120941763,5.822217208391534,5.799495158413004,5.845050404778721,5.819293430063118,5.818290962499041,5.90578009132819,damped_add,5.787925120941763,0.03622270913035308,0.029583179751531935,1.0180767712698986,2,0.02414847275356872
Регион,Орловская обл,456,3,5.142236638327068,5.152199949953735,5.860672873982438,6.1360670387193785,6.630475136842172,5.263440980941825,5.244255123283743,5.116046306692741,5.153695980042284,5.147692575563275,5.141117322199811,5.217302941666473,outlier_smoothing,5.116046306692741,0.03615364326099346,0.0199076736166283,1.0119158198420677,2,0.024102428840662306
mean_rto_decile,4,6186,3,6.730250716711986,6.732245591496205,7.738093430147135,8.178114040159477,8.550129772341268,6.731394236280991,6.738346706812578,6.696540474749913,6.743082587151855,6.7346569652389014,6.733135609954165,6.804475125839069,outlier_smoothing,6.696540474749913,0.03570511674629184,0.02254623228162084,1.0109404454494157,2,0.02380341116419456
Населенный пункт,Воронеж г,699,3,4.202267775302099,4.196575489766281,4.761010419331656,5.156505452165246,5.275993883356809,4.166744578854103,4.160938997081345,4.227108570782838,4.193685991879737,4.20580020991508,4.198208825096977,4.23343274060957,damped_ratio,4.160938997081345,0.03563649268493574,-0.01577594265278572,0.9821800681772678,2,0.023757661789957158
Населенный пункт,Тула г,234,3,5.0101438892848105,5.009880245417374,5.388836548585284,5.611316571350671,5.7023860539348075,5.032149032015523,5.027773844773299,4.974319711540164,5.011342552760205,5.008233283596104,5.0060573570828915,5.046252312119071,outlier_smoothing,4.974319711540164,0.035560533877210254,-0.003506756122919334,0.9875877685219862,2,0.023707022584806836
Населенный пункт,Ярославль г,381,3,5.636576060394828,5.631065713680395,6.432696757364577,7.083638308058282,7.248876344719873,5.613876893155739,5.603921517763271,5.597015889192196,5.6384351369971215,5.636790713981,5.636179423660364,5.7039213175113685,outlier_smoothing,5.597015889192196,0.03404982448819904,-0.005784970275116817,0.9871991870211982,2,0.022699882992132693
