fold,segment_type,segment_value,n,cluster_mape,temporal_mape,winner,temporal_minus_cluster_mape
8,Регион,Краснодарский край,1039,3.885247557994919,4.015235400304498,cluster,0.12998784230957883
8,Регион,Красноярский край,183,3.866902639395448,3.835340427317227,temporal,-0.0315622120782213
8,Регион,Курская обл,199,9.618436981113316,9.629458601246592,cluster,0.011021620133275789
8,Регион,Ленинградская обл,428,7.362898007423449,7.498635003712334,cluster,0.1357369962888848
8,Регион,Липецкая обл,282,4.723735206048074,4.784683108048457,cluster,0.06094790200038247
8,Регион,Марий Эл Респ,104,6.448350702443505,6.476274017968005,cluster,0.027923315524500225
8,Регион,Москва г,1423,3.3810099843099697,3.391469892340427,cluster,0.010459908030457488
8,Регион,Московская обл,1930,5.357112201246488,5.440694431314463,cluster,0.08358223006797516
8,Регион,Мурманская обл,165,4.693076722744674,4.794270168786098,cluster,0.10119344604142366
8,Регион,Нижегородская обл,688,5.678153830354082,5.7313522726891994,cluster,0.05319844233511706
8,Регион,Новгородская обл,114,7.312974796911359,7.441218613912157,cluster,0.128243817000798
8,Регион,Новосибирская обл,337,6.812109008477757,6.804853028955671,temporal,-0.007255979522085454
8,Регион,Омская обл,208,5.134047234632591,5.12119021075769,temporal,-0.012857023874901508
8,Регион,Оренбургская обл,326,4.112655296345361,4.151002652177638,cluster,0.03834735583227733
8,Регион,Орловская обл,152,3.9010035528825817,3.9236367343056457,cluster,0.02263318142306403
8,Регион,Пензенская обл,163,5.472752104960442,5.5591568397066045,cluster,0.0864047347461625
8,Регион,Пермский край,555,7.246117215782467,7.313534979596531,cluster,0.06741776381406339
8,Регион,Псковская обл,138,6.346674493670952,6.429013686906446,cluster,0.08233919323549355
8,Регион,Ростовская обл,795,3.512238503727496,3.5434748249089285,cluster,0.03123632118143238
8,Регион,Рязанская обл,256,6.333595540218716,6.458538078699581,cluster,0.12494253848086512
8,Регион,Самарская обл,677,5.7690049690824665,5.799033001080011,cluster,0.03002803199754478
8,Регион,Санкт-Петербург г,525,4.128897890030479,4.070592966140358,temporal,-0.05830492389012054
8,Регион,Саратовская обл,425,5.193429625460452,5.2475413197281275,cluster,0.05411169426767515
8,Регион,Свердловская обл,763,4.937673756123033,4.97045653981128,cluster,0.03278278368824683
8,Регион,Смоленская обл,174,4.847523522631644,4.909153829210409,cluster,0.06163030657876423
8,Регион,Ставропольский край,386,2.914509383215403,2.9241772557170704,cluster,0.00966787250166723
8,Регион,Тамбовская обл,203,5.2620009145508195,5.371658966391,cluster,0.10965805184018063
8,Регион,Татарстан Респ,857,5.539633874463435,5.58571354128273,cluster,0.04607966681929465
8,Регион,Тверская обл,263,6.227864457394073,6.328516929976626,cluster,0.10065247258255283
8,Регион,Тульская обл,272,4.364270115846152,4.436758036401425,cluster,0.07248792055527353
8,Регион,Тюменская обл,217,3.9777764104316145,3.99666781900003,cluster,0.018891408568415535
8,Регион,Удмуртская Респ,246,6.595348130991888,6.622689965663371,cluster,0.02734183467148288
8,Регион,Ульяновская обл,189,5.828124133713584,5.915665667063912,cluster,0.08754153335032822
8,Регион,Ханты-Мансийский Автономный округ - Югра АО,181,3.5325558866380855,3.5937453204714553,cluster,0.06118943383336983
8,Регион,Челябинская обл,618,4.631945804104167,4.6575680519103635,cluster,0.025622247806196263
8,Регион,Чувашская Республика - Чувашия,180,6.248521496073306,6.272525470184037,cluster,0.024003974110731185
8,Регион,Ярославская обл,268,7.885646037912927,7.922469525529808,cluster,0.03682348761688026
8,"Торговая площадь, категориальный",Большой,4149,4.780644199331272,4.802810788532445,cluster,0.02216658920117265
8,"Торговая площадь, категориальный",Маленький,4322,5.291094737964263,5.340902464986229,cluster,0.049807727021965675
8,"Торговая площадь, категориальный",Очень большой,494,3.2640159528375823,3.269279739412919,cluster,0.00526378657533666
8,"Торговая площадь, категориальный",Средний,11650,5.512635707399878,5.572982535542155,cluster,0.06034682814227743
8,Флаг алкогольной лицензии,0,1331,5.155078325763552,5.196867044073607,cluster,0.04178871831005537
8,Флаг алкогольной лицензии,1,19284,5.272569221158788,5.322209246523839,cluster,0.04964002536505063
8,Количество касс,3,636,5.184804634942539,5.228901384027339,cluster,0.0440967490848001
8,Количество касс,4,1723,5.336777701856782,5.392519080530957,cluster,0.055741378674174946
8,Количество касс,5,2742,5.424242982491162,5.472291085479956,cluster,0.04804810298879403
8,Количество касс,6,3275,5.402218372908854,5.4532332934814045,cluster,0.05101492057255008
8,Количество касс,7,3270,5.391797797138967,5.447111844254721,cluster,0.05531404711575405
8,Количество касс,8,2696,5.374424546901987,5.426910403858706,cluster,0.05248585695671881
8,Количество касс,9,1918,5.059261311426344,5.106740656716876,cluster,0.047479345290532216
8,Количество касс,10,1259,4.925799128424825,4.970701770953916,cluster,0.04490264252909082
8,Количество касс,11,942,5.188214618837892,5.231597448218049,cluster,0.04338282938015681
8,Количество касс,12,664,5.183725942799714,5.211771288911521,cluster,0.028045346111807312
8,Количество касс,13,429,4.930915510107433,4.975039690536736,cluster,0.04412418042930266
8,Количество касс,14,269,4.604371129300968,4.669989097789343,cluster,0.06561796848837531
8,Количество касс,15,198,4.4077505527208425,4.5080935616590665,cluster,0.10034300893822401
8,Количество касс,16,138,5.541786843058805,5.495431208831691,temporal,-0.04635563422711453
8,regime,declining,517,4.112569687936716,4.051206203374819,temporal,-0.06136348456189733
8,regime,growing,2843,4.645983251436038,4.666608000171285,cluster,0.02062474873524689
8,regime,high_stable,1152,4.6018718075144776,4.648550317474923,cluster,0.046678509960445425
8,regime,low_volatile,1792,5.454333683317994,5.464270386864775,cluster,0.009936703546780556
8,regime,october_drop,1603,4.504670162162702,4.522890572252931,cluster,0.01822041009022879
8,regime,october_spike,4069,8.869894204382831,9.140378071754874,cluster,0.2704838673720431
8,regime,stable,6277,3.7328369379425212,3.704335803828149,temporal,-0.028501134114372384
8,regime,volatile,2362,4.819551088108859,4.804090894615506,temporal,-0.015460193493352925
8,region_x_rto_decile,Москва г__9,402,2.994547517580092,3.0257437011164683,cluster,0.03119618353637632
8,region_x_rto_decile,Московская обл__7,300,5.367679917777165,5.440064751059973,cluster,0.07238483328280765
